inheritance_mode,fidelity,treatment,baseline,policy,contrast,metric,mean_diff,ci_lo,ci_hi,n_pairs,sign_agreement,paired_cohen_d
baldwinian,1.0,A_f1_move,C2,adaptive_move,adaptive-static,eval_heldout_delta_cue,0.009265151762724005,-0.03165647305400017,0.047700059688162474,30,0.5,0.0811135922400129
baldwinian,1.0,A_f1_blind,C2,adaptive_blind,adaptive-static,rate,-0.012958718575522528,-0.016329162596132155,-0.009439142991176366,30,0.9,-1.336794515724915
baldwinian,1.0,A_f1_blind,C2,adaptive_blind,adaptive-static,delta_cue,0.00699101887081305,0.0011235251600596084,0.013022271949250699,30,0.6333333333333333,0.4178345978843491
baldwinian,1.0,A_f1_blind,C2,adaptive_blind,adaptive-static,delta_true,0.00699101887081305,0.0011235251600596084,0.013022271949250699,30,0.6333333333333333,0.4178345978843491
baldwinian,1.0,A_f1_blind,C2,adaptive_blind,adaptive-static,realised_enforcement,0.07863007023819552,0.06872517637953947,0.08947164146827796,30,1.0,2.797226977631071
baldwinian,1.0,A_f1_blind,C2,adaptive_blind,adaptive-static,mean_mask_overlap,0.07928345070422531,0.07788554870892012,0.08077837441314552,30,1.0,18.565720891701716
baldwinian,1.0,A_f1_blind,C2,adaptive_blind,adaptive-static,mean_weight_kl,0.7327438361564489,0.7267084129927528,0.7386942653495338,30,1.0,44.63035873470851
baldwinian,1.0,A_f1_blind,C2,adaptive_blind,adaptive-static,eval_heldout_delta_cue,0.014620224111512018,-0.03218877018018315,0.06581532288589285,30,0.4666666666666667,0.10768191451315169
baldwinian,1.0,A_f1_cells,A_f1_blind,adaptive_cells,cells-blind,rate,0.013326121427973257,0.009959539220841033,0.016670540645109273,30,0.9333333333333333,1.4019646566052881
baldwinian,1.0,A_f1_cells,A_f1_blind,adaptive_cells,cells-blind,delta_cue,-0.003580234838575487,-0.009765242591908292,0.0030776226613605877,30,0.6,-0.20251129396009243
baldwinian,1.0,A_f1_cells,A_f1_blind,adaptive_cells,cells-blind,delta_true,-0.003580234838575487,-0.009765242591908292,0.0030776226613605877,30,0.6,-0.20251129396009243
baldwinian,1.0,A_f1_cells,A_f1_blind,adaptive_cells,cells-blind,realised_enforcement,-0.06662136430315604,-0.08074674933199842,-0.053458672653693175,30,0.9666666666666667,-1.730304765205925
baldwinian,1.0,A_f1_cells,A_f1_blind,adaptive_cells,cells-blind,mean_mask_overlap,-0.06910504694835681,-0.07103440434272307,-0.06726911678403752,30,1.0,-12.755109942522438
baldwinian,1.0,A_f1_cells,A_f1_blind,adaptive_cells,cells-blind,mean_weight_kl,-0.7136676094856373,-0.719386213927193,-0.7078423599103493,30,1.0,-44.52200791956167
baldwinian,1.0,A_f1_cells,A_f1_blind,adaptive_cells,cells-blind,eval_heldout_delta_cue,-0.01588641283588574,-0.0472030916570145,0.016573159241489627,30,0.5666666666666667,-0.1719590966274375
baldwinian,1.0,A_f1_move,A_f1_cells,adaptive_move,move-cells,rate,-0.002673699112844955,-0.005592601890811076,0.0002087142053442313,30,0.5666666666666667,-0.318535154605278
baldwinian,1.0,A_f1_move,A_f1_cells,adaptive_move,move-cells,delta_cue,-0.0021807793473792017,-0.007542617960646728,0.003349175730977227,30,0.5666666666666667,-0.1366872267977117
baldwinian,1.0,A_f1_move,A_f1_cells,adaptive_move,move-cells,delta_true,-0.0021807793473792017,-0.007542617960646728,0.003349175730977227,30,0.5666666666666667,-0.1366872267977117
baldwinian,1.0,A_f1_move,A_f1_cells,adaptive_move,move-cells,realised_enforcement,0.0014064742873341307,-0.008021349249503167,0.0110517744632175,30,0.5333333333333333,0.05108768314554105
baldwinian,1.0,A_f1_move,A_f1_cells,adaptive_move,move-cells,mean_mask_overlap,0.02848708920187797,0.02708786678403754,0.029855677816901488,30,1.0,7.036981237948099
baldwinian,1.0,A_f1_move,A_f1_cells,adaptive_move,move-cells,mean_weight_kl,0.05043014302352723,0.04906620879250771,0.0517350388423642,30,1.0,13.46960061473185
baldwinian,1.0,A_f1_move,A_f1_cells,adaptive_move,move-cells,eval_heldout_delta_cue,0.010531340487097715,-0.03483792659451943,0.05424987750214799,30,0.5666666666666667,0.08217808696210772
lamarckian,0.7,A_f0.7_cells,C3_f0.7,adaptive_cells,adaptive-static,rate,-0.007000681021210096,-0.012614128184773978,-0.0014608799367226636,30,0.7666666666666667,-0.4465233855804558
lamarckian,0.7,A_f0.7_cells,C3_f0.7,adaptive_cells,adaptive-static,delta_cue,-0.007695060998686296,-0.017960261093274962,0.002686090008445515,30,0.6333333333333333,-0.2659028989640377
lamarckian,0.7,A_f0.7_cells,C3_f0.7,adaptive_cells,adaptive-static,delta_true,-0.005708787729291002,-0.012286167093122514,0.0014557600198871108,30,0.7,-0.2993932197394239
lamarckian,0.7,A_f0.7_cells,C3_f0.7,adaptive_cells,adaptive-static,realised_enforcement,0.021248480145522667,0.012913008224835563,0.02904369286516057,30,0.8666666666666667,0.9319083686306217
lamarckian,0.7,A_f0.7_cells,C3_f0.7,adaptive_cells,adaptive-static,mean_mask_overlap,0.01010915492957747,0.00843820422535216,0.01192139084507045,30,0.9666666666666667,2.09773020912135
lamarckian,0.7,A_f0.7_cells,C3_f0.7,adaptive_cells,adaptive-static,mean_weight_kl,0.02147891653504352,0.02107962503522436,0.021908662259612566,30,1.0,18.086064256989776
lamarckian,0.7,A_f0.7_cells,C3_f0.7,adaptive_cells,adaptive-static,eval_heldout_delta_cue,0.0182873189094133,-0.04077686709933115,0.0781549667854159,30,0.6333333333333333,0.11120377836890341
lamarckian,0.7,A_f0.7_move,C3_f0.7,adaptive_move,adaptive-static,rate,-0.00422281760144487,-0.009696460965325624,0.0012128497274378077,30,0.6,-0.27117520362944925
lamarckian,0.7,A_f0.7_move,C3_f0.7,adaptive_move,adaptive-static,delta_cue,-0.000345377774161786,-0.011448212500452564,0.011065929400690361,30,0.5333333333333333,-0.010890998525252443
lamarckian,0.7,A_f0.7_move,C3_f0.7,adaptive_move,adaptive-static,delta_true,-0.0013171280702129887,-0.008805323360106976,0.006484695632528521,30,0.5333333333333333,-0.06048033607974062
lamarckian,0.7,A_f0.7_move,C3_f0.7,adaptive_move,adaptive-static,realised_enforcement,0.018213394328911375,0.008600761390703076,0.0283529197129047,30,0.7333333333333333,0.6282723498373604
lamarckian,0.7,A_f0.7_move,C3_f0.7,adaptive_move,adaptive-static,mean_mask_overlap,0.04473767605633801,0.043269894366197124,0.04622970950704224,30,1.0,10.490742339204603
lamarckian,0.7,A_f0.7_move,C3_f0.7,adaptive_move,adaptive-static,mean_weight_kl,0.08498063649251236,0.08343105908380885,0.0864987751778156,30,1.0,19.030270608320258
lamarckian,0.7,A_f0.7_move,C3_f0.7,adaptive_move,adaptive-static,eval_heldout_delta_cue,0.03277595178635587,-0.03494774507229145,0.10295207617243922,30,0.6,0.16977273454613628
lamarckian,0.7,A_f0.7_blind,C3_f0.7,adaptive_blind,adaptive-static,rate,-0.02635566319333612,-0.03318446909660095,-0.019753695671919307,30,0.9333333333333333,-1.3721301918500988
lamarckian,0.7,A_f0.7_blind,C3_f0.7,adaptive_blind,adaptive-static,delta_cue,-0.024461453722982356,-0.03677416609091221,-0.012901476612456034,30,0.7666666666666667,-0.7205135957001111
lamarckian,0.7,A_f0.7_blind,C3_f0.7,adaptive_blind,adaptive-static,delta_true,-0.008265558882337494,-0.016659688148301,0.0002019067615754421,30,0.7,-0.3430469059404403
lamarckian,0.7,A_f0.7_blind,C3_f0.7,adaptive_blind,adaptive-static,realised_enforcement,0.09322220057476507,0.07852911764876762,0.10796727063772993,30,1.0,2.293174753497675
