run_id,cell_id,condition,family,inheritance_mode,seed,fidelity,penalty,monitor_policy,expected_penalty_per_defection,extinct,final_population,total_agents,warmstart_applied,warmstart_skipped,adaptive_draws,mean_mask_overlap,mean_weight_kl,mean_weight_gini,population_late,mean_generation_end,drift_per_100_ticks,opportunities,rate,rate_cue0,rate_cue1,rate_m0,rate_m1,delta_cue,delta_true,realised_enforcement,eval_heldout_rate_cue0,eval_heldout_rate_cue1,eval_heldout_delta_cue,eval_heldout_opportunities,eval_train_rate_cue0,eval_train_rate_cue1,eval_train_delta_cue,eval_train_opportunities
C2__baldwinian__s25,C2__baldwinian,C2,C2,baldwinian,25,1.0,6.0,static,3.0,0,50,526,0,0,0,0.5024647887323944,0.0,0.0,50.0,4.52,-0.00014287041028982207,10506.0,0.10850942318675043,0.14971473539248475,0.06988751613498063,0.14971473539248475,0.06988751613498063,0.07982721925750412,0.07982721925750412,0.33245614035087717,0.06115702479338843,0.04503105590062112,0.01612596889276731,1249.0,0.1064,0.03857566765578635,0.06782433234421364,3272.0
C2__baldwinian__s26,C2__baldwinian,C2,C2,baldwinian,26,1.0,6.0,static,3.0,0,50,616,0,0,0,0.4944542253521128,0.0,0.0,50.0,4.34,-0.0019609964087073774,11813.0,0.10590027935325488,0.15298000388274122,0.06949864905433803,0.15298000388274122,0.06949864905433803,0.08348135482840319,0.08348135482840319,0.3701039168665068,0.10843373493975904,0.06451612903225806,0.043917605907500976,176.0,0.08592057761732852,0.03697996918335902,0.0489406084339695,2683.0
C2__baldwinian__s27,C2__baldwinian,C2,C2,baldwinian,27,1.0,6.0,static,3.0,0,50,558,0,0,0,0.4996830985915493,0.0,0.0,50.0,3.36,-0.001554212347818901,12630.0,0.09675376088677752,0.14363045831829666,0.06010158013544018,0.14363045831829666,0.06010158013544018,0.08352887818285648,0.08352887818285648,0.3486088379705401,0.07542579075425791,0.06395348837209303,0.011472302382164887,755.0,0.10197775030902348,0.051299133910726186,0.050678616398297294,3119.0
C2__baldwinian__s28,C2__baldwinian,C2,C2,baldwinian,28,1.0,6.0,static,3.0,0,50,597,0,0,0,0.501549295774648,0.0,0.0,50.0,4.6,-0.0033991158375373722,13515.0,0.09433962264150944,0.1300559026635975,0.06511502757971209,0.1300559026635975,0.06511502757971209,0.06494087508388542,0.06494087508388542,0.3796078431372549,0.1962025316455696,0.07983193277310924,0.11637059887246037,396.0,0.06755895474824729,0.02664576802507837,0.04091318672316892,3483.0
C2__baldwinian__s29,C2__baldwinian,C2,C2,baldwinian,29,1.0,6.0,static,3.0,0,50,593,0,0,0,0.5002992957746478,0.0,0.0,43.666666666666664,5.6,0.00015385689298576016,9917.0,0.12292023797519411,0.17694663167104113,0.07670720299345182,0.17694663167104113,0.07670720299345182,0.10023942867758931,0.10023942867758931,0.3363412633305988,0.06116207951070336,0.05420054200542006,0.006961537505283305,1023.0,0.08414239482200647,0.034653465346534656,0.049488929475471816,3161.0
C2__baldwinian__s30,C2__baldwinian,C2,C2,baldwinian,30,1.0,6.0,static,3.0,0,50,574,0,0,0,0.504507042253521,0.0,0.0,50.0,3.9,-0.000653514355602459,12037.0,0.10027415468970674,0.13590746725633612,0.0662552776875609,0.13590746725633612,0.0662552776875609,0.06965218956877522,0.06965218956877522,0.3380281690140845,0.2658959537572254,0.0423728813559322,0.2235230724012932,409.0,0.06933115823817292,0.03550295857988166,0.03382819965829126,2747.0
C2__lamarckian__s1,C2__lamarckian,C2,C2,lamarckian,1,1.0,6.0,static,3.0,0,34,373,353,0,0,0.4994894366197184,0.0,0.0,38.8,4.555555555555555,0.005683364662737968,7924.0,0.196113074204947,0.49690571532580996,0.03650762990148735,0.49690571532580996,0.03650762990148735,0.4603980854243226,0.4603980854243226,0.12162162162162163,0.7058823529411765,0.05555555555555555,0.6503267973856209,159.0,0.5033444816053512,0.03480278422273782,0.46854169738261336,1460.0
C2__lamarckian__s2,C2__lamarckian,C2,C2,lamarckian,2,1.0,6.0,static,3.0,0,46,394,374,0,0,0.4992957746478874,0.0,0.0,43.0,5.0,0.004199840729547375,8198.0,0.1813857038302025,0.41515544041450775,0.040117416829745595,0.41515544041450775,0.040117416829745595,0.3750380235847621,0.3750380235847621,0.1378614660390047,0.3118279569892473,0.012307692307692308,0.299520264681555,604.0,0.29465095194922936,0.025153374233128835,0.2694975777161005,2733.0
C2__lamarckian__s3,C2__lamarckian,C2,C2,lamarckian,3,1.0,6.0,static,3.0,0,45,377,357,0,0,0.5015845070422534,0.0,0.0,38.86666666666667,5.365853658536586,0.010007866957111006,8037.0,0.18850317282568121,0.4320661157024793,0.041500399042298484,0.4320661157024793,0.041500399042298484,0.39056571666018086,0.39056571666018086,0.1372937293729373,0.41379310344827586,0.026119402985074626,0.3876737004632012,384.0,0.4251655629139073,0.025336500395882817,0.39982906251802447,2018.0
C2__lamarckian__s4,C2__lamarckian,C2,C2,lamarckian,4,1.0,6.0,static,3.0,0,47,372,352,0,0,0.4974471830985916,0.0,0.0,42.733333333333334,4.975609756097561,0.008001604384260726,8528.0,0.17436679174484052,0.4117270105735341,0.03735897910116515,0.4117270105735341,0.03735897910116515,0.37436803147236897,0.37436803147236897,0.13584398117014124,0.5849056603773585,0.011494252873563218,0.5734114075037953,280.0,0.46096096096096095,0.03877221324717286,0.4221887477137881,1904.0
C2__lamarckian__s5,C2__lamarckian,C2,C2,lamarckian,5,1.0,6.0,static,3.0,0,40,384,364,0,0,0.5024823943661971,0.0,0.0,41.4,4.384615384615385,0.00739026642421409,8412.0,0.17748454588682835,0.3860437256663672,0.04021289178001183,0.3860437256663672,0.04021289178001183,0.3458308338863554,0.3458308338863554,0.13663764233087744,0.5494505494505495,0.023178807947019868,0.5262717415035296,393.0,0.45531197301854975,0.03540772532188841,0.41990424769666135,1525.0
C2__lamarckian__s6,C2__lamarckian,C2,C2,lamarckian,6,1.0,6.0,static,3.0,0,50,371,351,0,0,0.4948591549295774,0.0,0.0,40.13333333333333,5.534883720930233,0.00731332786548129,7264.0,0.19397026431718062,0.4098633788737088,0.041989209476894204,0.4098633788737088,0.041989209476894204,0.36787416939681455,0.36787416939681455,0.1270404542228531,0.6355140186915887,0.0514018691588785,0.5841121495327103,321.0,0.4166666666666667,0.02528735632183908,0.3913793103448276,1578.0
C2__lamarckian__s7,C2__lamarckian,C2,C2,lamarckian,7,1.0,6.0,static,3.0,0,47,364,344,0,0,0.4998943661971831,0.0,0.0,37.06666666666667,5.5227272727272725,0.0034458357081619245,8095.0,0.19246448424953674,0.479873993699685,0.03570064910271096,0.479873993699685,0.03570064910271096,0.444173344596974,0.444173344596974,0.12002567394094994,0.5769230769230769,0.02564102564102564,0.5512820512820512,299.0,0.3468379446640316,0.03105095541401274,0.31578698925001886,2268.0
C2__lamarckian__s8,C2__lamarckian,C2,C2,lamarckian,8,1.0,6.0,static,3.0,0,38,383,363,0,0,0.5063908450704225,0.0,0.0,38.2,4.666666666666667,0.010310404103974045,7563.0,0.21671294459870422,0.45454545454545453,0.04321975760347588,0.45454545454545453,0.04321975760347588,0.4113256969419786,0.4113256969419786,0.11531421598535692,0.684931506849315,0.037037037037037035,0.6478944698122779,181.0,0.42685851318944845,0.024539877300613498,0.40231863588883493,1975.0
C2__lamarckian__s9,C2__lamarckian,C2,C2,lamarckian,9,1.0,6.0,static,3.0,0,50,403,383,0,0,0.5013732394366198,0.0,0.0,42.46666666666667,4.909090909090909,0.004526530431110376,8623.0,0.17093818856546444,0.38305190744215134,0.04589861751152074,0.38305190744215134,0.04589861751152074,0.3371532899306306,0.3371532899306306,0.1689280868385346,0.44502617801047123,0.03636363636363636,0.40866254164683485,466.0,0.25879593432369036,0.01793103448275862,0.24086489984093173,2729.0
C2__lamarckian__s10,C2__lamarckian,C2,C2,lamarckian,10,1.0,6.0,static,3.0,0,50,386,366,0,0,0.4979049295774649,0.0,0.0,45.666666666666664,4.533333333333333,0.007969257559919963,8621.0,0.17202180721494026,0.34699606962380686,0.048823878236805694,0.34699606962380686,0.048823878236805694,0.2981721913870012,0.2981721913870012,0.1665542818610924,0.37362637362637363,0.021621621621621623,0.352004752004752,276.0,0.3392070484581498,0.03428571428571429,0.3049213341724355,2133.0
C2__lamarckian__s11,C2__lamarckian,C2,C2,lamarckian,11,1.0,6.0,static,3.0,0,42,385,365,0,0,0.504330985915493,0.0,0.0,39.6,4.769230769230769,0.010983799269224331,6810.0,0.186784140969163,0.40401785714285715,0.04512372634643377,0.40401785714285715,0.04512372634643377,0.3588941307964234,0.3588941307964234,0.14622641509433962,0.6211180124223602,0.028680688336520075,0.5924373240858402,684.0,0.5027027027027027,0.05238095238095238,0.4503217503217503,1395.0
C2__lamarckian__s12,C2__lamarckian,C2,C2,lamarckian,12,1.0,6.0,static,3.0,0,41,388,368,0,0,0.4969190140845069,0.0,0.0,47.53333333333333,4.848484848484849,0.003018575990355593,9772.0,0.14142447810069586,0.3072538860103627,0.033152909336941816,0.3072538860103627,0.033152909336941816,0.27410097667342087,0.27410097667342087,0.14182344428364688,0.2651162790697674,0.034055727554179564,0.23106055151558785,538.0,0.22380952380952382,0.036444444444444446,0.18736507936507937,2175.0
